Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
ASH2L,CXXC1,HEK-293 cell
ASH2L,DPY30,HEK-293 cell
ASH2L,HCFC1,HEK-293 cell
ASH2L,HCFC2,HEK-293 cell
ASH2L,KMT2A,HEK-293 cell
ASH2L,KMT2C,HEK-293 cell
ASH2L,KMT2B,HEK-293 cell
ASH2L,RBBP5,HEK-293 cell
ASH2L,SETD1A,HEK-293 cell
ASH2L,SETD1B,HEK-293 cell
ASH2L,KDM6A,HEK-293 cell
ASH2L,WDR5,HEK-293 cell
SMARCC2,ACTL6A,HEK-293 cell
SMARCC2,ARID1A,HEK-293 cell
SMARCC2,ARID1B,HEK-293 cell
SMARCC2,ARID2,HEK-293 cell
SMARCC2,BRD7,HEK-293 cell
SMARCC2,DPF2,HEK-293 cell
SMARCC2,KPNA2,HEK-293 cell
SMARCC2,PBRM1,HEK-293 cell
SMARCC2,PHF10,HEK-293 cell
SMARCC2,SMARCA2,HEK-293 cell
SMARCC2,SMARCA4,HEK-293 cell
SMARCC2,SMARCB1,HEK-293 cell
SMARCC2,SMARCC1,HEK-293 cell
SMARCC2,SMARCD1,HEK-293 cell
SMARCC2,SMARCD2,HEK-293 cell
SMARCC2,SMARCD3,HEK-293 cell
SMARCC2,SMARCE1,HEK-293 cell
SMARCE1,ACTL6A,HEK-293 cell
SMARCE1,ARID1A,HEK-293 cell
SMARCE1,ARID1B,HEK-293 cell
SMARCE1,ARID2,HEK-293 cell
SMARCE1,BRD7,HEK-293 cell
SMARCE1,DPF2,HEK-293 cell
SMARCE1,PHF10,HEK-293 cell
SMARCE1,SMARCA2,HEK-293 cell
SMARCE1,SMARCA4,HEK-293 cell
SMARCE1,SMARCB1,HEK-293 cell
SMARCE1,SMARCC1,HEK-293 cell
SMARCE1,SMARCC2,HEK-293 cell
SMARCE1,SMARCD1,HEK-293 cell
SMARCE1,SMARCD2,HEK-293 cell
SMARCE1,SMARCD3,HEK-293 cell
SMARCD1,ACTA1,HEK-293 cell
SMARCD1,ACTL6A,HEK-293 cell
SMARCD1,ARID1A,HEK-293 cell
SMARCD1,ARID1B,HEK-293 cell
SMARCD1,ARID2,HEK-293 cell
SMARCD1,BRD7,HEK-293 cell
SMARCD1,DPF2,HEK-293 cell
SMARCD1,KPNA2,HEK-293 cell
SMARCD1,PBRM1,HEK-293 cell
SMARCD1,PHF10,HEK-293 cell
SMARCD1,SMARCA2,HEK-293 cell
SMARCD1,SMARCA4,HEK-293 cell
SMARCD1,SMARCB1,HEK-293 cell
SMARCD1,SMARCC1,HEK-293 cell
SMARCD1,SMARCC2,HEK-293 cell
SMARCD1,SMARCD2,HEK-293 cell
SMARCD1,SMARCE1,HEK-293 cell
SMARCD1,SS18,HEK-293 cell
CCNT1,CDK9,HEK-293 cell
CDC73,CTR9,HEK-293 cell
CDC73,HSP90AA1,HEK-293 cell
CDC73,LEO1,HEK-293 cell
CDC73,PAF1,HEK-293 cell
CDC73,WDR61,HEK-293 cell
CDK9,ATP1A1,HEK-293 cell
CDK9,CCNT1,HEK-293 cell
CDK9,CCT8,HEK-293 cell
CDK9,CDC37,HEK-293 cell
CDK9,HSP90AA1,HEK-293 cell
CDK9,MARS,HEK-293 cell
CDK9,MSH2,HEK-293 cell
CDK9,P4HA1,HEK-293 cell
CDK9,RPN1,HEK-293 cell
CTR9,CDC73,HEK-293 cell
CTR9,LEO1,HEK-293 cell
CTR9,PAF1,HEK-293 cell
CTR9,WDR61,HEK-293 cell
LEO1,CDC73,HEK-293 cell
LEO1,CTR9,HEK-293 cell
LEO1,HADHA,HEK-293 cell
LEO1,HADHB,HEK-293 cell
LEO1,PAF1,HEK-293 cell
LEO1,PPP1CC,HEK-293 cell
LEO1,WDR61,HEK-293 cell
PAF1,CDC73,HEK-293 cell
PAF1,CTR9,HEK-293 cell
PAF1,LEO1,HEK-293 cell
PAF1,WDR61,HEK-293 cell
RBBP5,ASH2L,HEK-293 cell
RBBP5,CXXC1,HEK-293 cell
RBBP5,DPY30,HEK-293 cell
RBBP5,HCFC1,HEK-293 cell
RBBP5,SETD1A,HEK-293 cell
RBBP5,WDR5,HEK-293 cell
NELFE,NELFB,HEK-293 cell
NELFE,SF3B1,HEK-293 cell
NELFE,NELFCD,HEK-293 cell
NELFE,TMEM141,HEK-293 cell
NELFE,NELFA,HEK-293 cell
RTF1,HADHA,HEK-293 cell
RTF1,HADHB,HEK-293 cell
WDR5,ASH2L,HEK-293 cell
WDR5,CXXC1,HEK-293 cell
WDR5,DPY30,HEK-293 cell
WDR5,HCFC1,HEK-293 cell
WDR5,KMT2A,HEK-293 cell
WDR5,KMT2B,HEK-293 cell
WDR5,RBBP5,HEK-293 cell
WDR5,SETD1A,HEK-293 cell
KLF4,SMARCA4,HEK-293 cell
HSP90AA1,AHSA1,"heat sensitivity,vegetative growth"
CREBBP,STAT1,THP-1 cell
STAT1,EP300,THP-1 cell
RNF4,SUMO2,"HeLa cell,cervical adenocarcinoma"
RNF4,TRIM28,"HeLa cell,cervical adenocarcinoma"
RNF4,PML,"HeLa cell,cervical adenocarcinoma"
RNF4,SART1,"HeLa cell,cervical adenocarcinoma"
RNF4,UHRF1,"HeLa cell,cervical adenocarcinoma"
KAT5,UL27,foreskin fibroblast cell line
TRRAP,UL27,foreskin fibroblast cell line
PSME3,UL27,foreskin fibroblast cell line
EP300,BRCA1,"abdominal adipose tissue,adipose tissue of abdominal region"
EP300,CREB1,"preadipocyte,visceral preadipocyte"
FAF2,CDC48,Synthetic Rescue
ATL1,SEY1,Synthetic Rescue
ATL1,YOP1,Synthetic Rescue
HTT,RNQ1,Dosage Lethality
HTT,SUP35,Dosage Lethality
HTT,GRE2,vegetative growth
HTT,MRPL11,vegetative growth
HTT,PCL6,vegetative growth
HTT,HEL1,vegetative growth
HTT,DCN1,vegetative growth
SNCA,PEX8,vegetative growth
SNCA,SAP4,vegetative growth
SNCA,YBR013C,vegetative growth
SNCA,YJR154W,vegetative growth
SNCA,YMR226C,vegetative growth
ELAVL1,SLC38A2,HeLa cell
ELAVL1,TRPC1,HeLa cell
ELAVL1,INTS3,HeLa cell
ELAVL1,CNOT8,HeLa cell
ELAVL1,UHMK1,HeLa cell
ELAVL1,LYN,HeLa cell
ELAVL1,ERP44,HeLa cell
ELAVL1,SLC27A6,HeLa cell
ELAVL1,STK24,HeLa cell
ELAVL1,SERINC3,HeLa cell
ELAVL1,TBL1XR1,HeLa cell
ELAVL1,CASD1,HeLa cell
ELAVL1,ZNF554,HeLa cell
ELAVL1,FOXN2,HeLa cell
ELAVL1,FCHSD2,HeLa cell
ELAVL1,MAP4K5,HeLa cell
ELAVL1,OCRL,HeLa cell
ELAVL1,DDAH1,HeLa cell
ELAVL1,AKAP8,HeLa cell
ELAVL1,IKBIP,HeLa cell
ELAVL1,EAPP,HeLa cell
ELAVL1,RNF149,HeLa cell
ELAVL1,TTC33,HeLa cell
ELAVL1,LAMTOR1,HeLa cell
ELAVL1,HERPUD2,HeLa cell
ELAVL1,CELF1,HeLa cell
ELAVL1,NCOA3,HeLa cell
ELAVL1,HES1,HeLa cell
ELAVL1,ADAT1,HeLa cell
ELAVL1,MARVELD2,HeLa cell
ELAVL1,CISD2,HeLa cell
ELAVL1,TCF7L2,HeLa cell
ELAVL1,IGIP,HeLa cell
ELAVL1,AMMECR1L,HeLa cell
ELAVL1,KLHL3,HeLa cell
ELAVL1,SMPD1,HeLa cell
ELAVL1,WDR45B,HeLa cell
ELAVL1,LTA4H,HeLa cell
ELAVL1,UBXN6,HeLa cell
ELAVL1,FAM105A,HeLa cell
ELAVL1,MED20,HeLa cell
ELAVL1,LIMK1,HeLa cell
ELAVL1,ATP1B1,HeLa cell
ELAVL1,GCLC,HeLa cell
ELAVL1,MSN,HeLa cell
ELAVL1,MRGBP,HeLa cell
ELAVL1,MPZL1,HeLa cell
ELAVL1,PEX19,HeLa cell
ELAVL1,CLDN12,HeLa cell
ELAVL1,TMEM2,HeLa cell
ELAVL1,TMEM263,HeLa cell
ELAVL1,INO80C,HeLa cell
ELAVL1,PHACTR2,HeLa cell
ELAVL1,EPHB4,HeLa cell
ELAVL1,TRERF1,HeLa cell
ELAVL1,SNX19,HeLa cell
ELAVL1,SRSF9,HeLa cell
ELAVL1,NADK2,HeLa cell
ELAVL1,MKNK2,HeLa cell
ELAVL1,SORT1,HeLa cell
ELAVL1,CDK9,HeLa cell
ELAVL1,ATM,HeLa cell
ELAVL1,HLTF,HeLa cell
ELAVL1,SNRNP48,HeLa cell
ELAVL1,MGEA5,HeLa cell
ELAVL1,ZHX1,HeLa cell
ELAVL1,TFAP2C,HeLa cell
ELAVL1,TSPAN31,HeLa cell
ELAVL1,PSMD5,HeLa cell
ELAVL1,PPP6C,HeLa cell
ELAVL1,XPO4,HeLa cell
ELAVL1,G3BP1,HeLa cell
ELAVL1,NEIL2,HeLa cell
ELAVL1,COL1A1,HeLa cell
ELAVL1,FXR1,HeLa cell
ELAVL1,PPP2R5E,HeLa cell
ELAVL1,PATL1,HeLa cell
ELAVL1,SESN3,HeLa cell
ELAVL1,MANBAL,HeLa cell
ELAVL1,OSBPL2,HeLa cell
ELAVL1,CBX3,HeLa cell
ELAVL1,USB1,HeLa cell
ELAVL1,PAPD5,HeLa cell
ELAVL1,PPTC7,HeLa cell
ELAVL1,FANCD2,HeLa cell
ELAVL1,IRX1,HeLa cell
ELAVL1,PCGF2,HeLa cell
ELAVL1,SNTB2,HeLa cell
ELAVL1,SENP2,HeLa cell
ELAVL1,TRIM37,HeLa cell
ELAVL1,DHX33,HeLa cell
ELAVL1,ODF2,HeLa cell
ELAVL1,ZFR,HeLa cell
ELAVL1,VSIG10,HeLa cell
ELAVL1,MTA2,HeLa cell
ELAVL1,CDV3,HeLa cell
ELAVL1,UHRF1,HeLa cell
ELAVL1,HMG20A,HeLa cell
ELAVL1,LPHN1,HeLa cell
ELAVL1,DR1,HeLa cell
ELAVL1,KIF20B,HeLa cell
ELAVL1,PKN2,HeLa cell
ELAVL1,KCTD9,HeLa cell
ELAVL1,FNDC3A,HeLa cell
ELAVL1,CPSF2,HeLa cell
ELAVL1,CAPZA2,HeLa cell
ELAVL1,RASL10B,HeLa cell
ELAVL1,HNRNPA0,HeLa cell
ELAVL1,SDC2,HeLa cell
ELAVL1,SAMD1,HeLa cell
ELAVL1,SPRED2,HeLa cell
ELAVL1,SPSB1,HeLa cell
ELAVL1,TMEM216,HeLa cell
ELAVL1,TUFT1,HeLa cell
ELAVL1,RERE,HeLa cell
ELAVL1,RFWD2,HeLa cell
ELAVL1,HSD17B11,HeLa cell
ELAVL1,PUM2,HeLa cell
ELAVL1,UBE2J1,HeLa cell
ELAVL1,ORMDL3,HeLa cell
ELAVL1,MDC1,HeLa cell
ELAVL1,MAPKAPK2,HeLa cell
ELAVL1,ZBTB46,HeLa cell
ELAVL1,IER2,HeLa cell
ELAVL1,METTL21B,HeLa cell
ELAVL1,DHRS3,HeLa cell
ELAVL1,UFM1,HeLa cell
ELAVL1,PITPNB,HeLa cell
ELAVL1,CMPK1,HeLa cell
ELAVL1,ITPKB,HeLa cell
ELAVL1,ZBTB33,HeLa cell
ELAVL1,RABL2A,HeLa cell
ELAVL1,E2F3,HeLa cell
ELAVL1,INSIG1,HeLa cell
ELAVL1,DUSP28,HeLa cell
ELAVL1,KIF1B,HeLa cell
ELAVL1,TCEAL8,HeLa cell
ELAVL1,FAM46A,HeLa cell
ELAVL1,TMEM9B,HeLa cell
ELAVL1,PRKAA1,HeLa cell
ELAVL1,KDM2A,HeLa cell
ELAVL1,ETV5,HeLa cell
ELAVL1,ARID1A,HeLa cell
ELAVL1,CREB3L2,HeLa cell
ELAVL1,NDUFC2,HeLa cell
ELAVL1,ZNF770,HeLa cell
ELAVL1,NUAK1,HeLa cell
ELAVL1,CLINT1,HeLa cell
ELAVL1,GLIPR2,HeLa cell
ELAVL1,CCP110,HeLa cell
ELAVL1,EBP,HeLa cell
ELAVL1,MARCH2,HeLa cell
ELAVL1,DICER1-AS1,HeLa cell
ELAVL1,TMEM38B,HeLa cell
ELAVL1,FKBP1A,HeLa cell
ELAVL1,CRIPT,HeLa cell
ELAVL1,NPLOC4,HeLa cell
ELAVL1,ACSL4,HeLa cell
ELAVL1,PDCD4,HeLa cell
ELAVL1,UBE2H,HeLa cell
ELAVL1,DUSP5,HeLa cell
ELAVL1,DUSP15,HeLa cell
ELAVL1,BARD1,HeLa cell
ELAVL1,SMAD2,HeLa cell
ELAVL1,ENAH,HeLa cell
ELAVL1,RYK,HeLa cell
ELAVL1,LAMTOR3,HeLa cell
ELAVL1,ZNF426,HeLa cell
ELAVL1,AKIRIN2,HeLa cell
ELAVL1,TMEM52B,HeLa cell
ELAVL1,TROAP,HeLa cell
ELAVL1,CARD8,HeLa cell
ELAVL1,OXSR1,HeLa cell
ELAVL1,TRIM38,HeLa cell
ELAVL1,GIGYF1,HeLa cell
ELAVL1,TMEM68,HeLa cell
ELAVL1,ZC3HAV1,HeLa cell
ELAVL1,RYBP,HeLa cell
ELAVL1,EFHD2,HeLa cell
ELAVL1,ZNF91,HeLa cell
ELAVL1,ASB6,HeLa cell
ELAVL1,BRD2,HeLa cell
ELAVL1,FAM172A,HeLa cell
ELAVL1,PPP3CB,HeLa cell
ELAVL1,BTBD3,HeLa cell
ELAVL1,SLC39A10,HeLa cell
ELAVL1,RBM15,HeLa cell
ELAVL1,CDCA8,HeLa cell
ELAVL1,TMTC4,HeLa cell
ELAVL1,UST,HeLa cell
ELAVL1,ARPC5,HeLa cell
ELAVL1,COL4A5,HeLa cell
ELAVL1,FAM219B,HeLa cell
ELAVL1,NUAK2,HeLa cell
ELAVL1,SKP2,HeLa cell
ELAVL1,OTULIN,HeLa cell
ELAVL1,PHTF2,HeLa cell
ELAVL1,TANGO2,HeLa cell
ELAVL1,FANCE,HeLa cell
ELAVL1,SPOCK1,HeLa cell
ELAVL1,DPP8,HeLa cell
ELAVL1,TTPAL,HeLa cell
ELAVL1,USP3,HeLa cell
ELAVL1,SRD5A1,HeLa cell
ELAVL1,GAL,HeLa cell
ELAVL1,STAU1,HeLa cell
ELAVL1,EIF4B,HeLa cell
ELAVL1,ZMPSTE24,HeLa cell
ELAVL1,SDCCAG3,HeLa cell
ELAVL1,ARL5A,HeLa cell
ELAVL1,TP53TG3,HeLa cell
ELAVL1,PRPS2,HeLa cell
ELAVL1,CALM1,HeLa cell
ELAVL1,GPR180,HeLa cell
ELAVL1,IRF9,HeLa cell
ELAVL1,TOB1,HeLa cell
ELAVL1,RNF219,HeLa cell
ELAVL1,SHOX2,HeLa cell
ELAVL1,SPRED1,HeLa cell
ELAVL1,EEF2K,HeLa cell
ELAVL1,MTRR,HeLa cell
ELAVL1,FAM110B,HeLa cell
ELAVL1,VPS26A,HeLa cell
ELAVL1,ZAK,HeLa cell
ELAVL1,CAPZA1,HeLa cell
ELAVL1,ICMT,HeLa cell
ELAVL1,AMFR,HeLa cell
ELAVL1,LRTOMT,HeLa cell
ELAVL1,SRSF8,HeLa cell
ELAVL1,NIPAL3,HeLa cell
ELAVL1,LPCAT4,HeLa cell
ELAVL1,CTLA4,HeLa cell
ELAVL1,TGFB3,HeLa cell
ELAVL1,HNRNPA1,HeLa cell
ELAVL1,CFAP45,HeLa cell
ELAVL1,CDC42SE1,HeLa cell
ELAVL1,HOXC11,HeLa cell
ELAVL1,SNRPF,HeLa cell
ELAVL1,VPS36,HeLa cell
ELAVL1,GOLGA3,HeLa cell
ELAVL1,PHLDA1,HeLa cell
ELAVL1,PDCL,HeLa cell
ELAVL1,CDC42,HeLa cell
ELAVL1,EIF2S3,HeLa cell
ELAVL1,GRPEL2,HeLa cell
ELAVL1,XKR6,HeLa cell
ELAVL1,TRIOBP,HeLa cell
ELAVL1,LAMC1,HeLa cell
ELAVL1,TMX1,HeLa cell
ELAVL1,METTL7A,HeLa cell
ELAVL1,CNOT7,HeLa cell
ELAVL1,C2orf68,HeLa cell
ELAVL1,CD8B,HeLa cell
ELAVL1,CDH9,HeLa cell
ELAVL1,SLC35F6,HeLa cell
ELAVL1,ZCCHC14,HeLa cell
ELAVL1,SKA1,HeLa cell
ELAVL1,CDC42SE2,HeLa cell
ELAVL1,CD79B,HeLa cell
ELAVL1,DTD2,HeLa cell
ELAVL1,PHYH,HeLa cell
ELAVL1,SCML1,HeLa cell
ELAVL1,ZNF528,HeLa cell
ELAVL1,SLC25A37,HeLa cell
ELAVL1,PFDN2,HeLa cell
ELAVL1,KIAA0430,HeLa cell
ELAVL1,SNX6,HeLa cell
ELAVL1,SLC25A15,HeLa cell
ELAVL1,DDX3X,HeLa cell
ELAVL1,CYB5B,HeLa cell
ELAVL1,CCND1,HeLa cell
ELAVL1,SEH1L,HeLa cell
ELAVL1,DUSP7,HeLa cell
ELAVL1,TMEM19,HeLa cell
ELAVL1,FAM83H,HeLa cell
ELAVL1,GLYR1,HeLa cell
ELAVL1,IMPA1,HeLa cell
ELAVL1,ZC2HC1A,HeLa cell
ELAVL1,MSRB2,HeLa cell
ELAVL1,CAMKMT,HeLa cell
ELAVL1,TTL,HeLa cell
ELAVL1,PFKFB3,HeLa cell
ELAVL1,PTP4A3,HeLa cell
ELAVL1,TMEM189,HeLa cell
ELAVL1,ANKRD13A,HeLa cell
ELAVL1,PDE4DIP,HeLa cell
ELAVL1,MEAF6,HeLa cell
ELAVL1,G3BP2,HeLa cell
ELAVL1,DNAJB11,HeLa cell
ELAVL1,MED1,HeLa cell
ELAVL1,SLC19A2,HeLa cell
ELAVL1,VAV2,HeLa cell
ELAVL1,IDH1,HeLa cell
ELAVL1,PIGN,HeLa cell
ELAVL1,PITHD1,HeLa cell
ELAVL1,ARMC1,HeLa cell
ELAVL1,FAM49B,HeLa cell
ELAVL1,NUSAP1,HeLa cell
ELAVL1,RRP1B,HeLa cell
ELAVL1,TFPI,HeLa cell
ELAVL1,DNAJB9,HeLa cell
ELAVL1,AGPAT9,HeLa cell
ELAVL1,VTA1,HeLa cell
ELAVL1,SGOL1,HeLa cell
ELAVL1,EPB41L3,HeLa cell
ELAVL1,GSR,HeLa cell
ELAVL1,TBCCD1,HeLa cell
ELAVL1,IRS2,HeLa cell
ELAVL1,SLC35F2,HeLa cell
ELAVL1,SLC16A6,HeLa cell
ELAVL1,DUSP3,HeLa cell
ELAVL1,CTBS,HeLa cell
ELAVL1,TMED7,HeLa cell
ELAVL1,MTA3,HeLa cell
ELAVL1,MED28,HeLa cell
ELAVL1,CEPT1,HeLa cell
ELAVL1,TC2N,HeLa cell
ELAVL1,CDCA7L,HeLa cell
ELAVL1,CASK,HeLa cell
ELAVL1,RBBP4,HeLa cell
ELAVL1,CLASP1,HeLa cell
ELAVL1,RPN1,HeLa cell
ELAVL1,GMFB,HeLa cell
ELAVL1,ZEB2,HeLa cell
ELAVL1,AAGAB,HeLa cell
ELAVL1,DTX3L,HeLa cell
ELAVL1,CAMSAP2,HeLa cell
ELAVL1,PSMG3,HeLa cell
ELAVL1,ANXA7,HeLa cell
ELAVL1,SLC25A43,HeLa cell
ELAVL1,PPM1F,HeLa cell
ELAVL1,KDM5B,HeLa cell
ELAVL1,ARPC1A,HeLa cell
ELAVL1,TYW1,HeLa cell
ELAVL1,NFIB,HeLa cell
ELAVL1,ACBD3,HeLa cell
ELAVL1,TES,HeLa cell
ELAVL1,CASC4,HeLa cell
ELAVL1,ELK1,HeLa cell
ELAVL1,ANTXR1,HeLa cell
ELAVL1,TSPAN14,HeLa cell
ELAVL1,ZNF668,HeLa cell
ELAVL1,FBXO27,HeLa cell
ELAVL1,COLGALT1,HeLa cell
ELAVL1,YES1,HeLa cell
ELAVL1,LPCAT1,HeLa cell
ELAVL1,RAB21,HeLa cell
ELAVL1,SLMO2,HeLa cell
ELAVL1,RBM17,HeLa cell
ELAVL1,HNRNPDL,HeLa cell
ELAVL1,EXOSC6,HeLa cell
ELAVL1,YTHDF1,HeLa cell
ELAVL1,FOXO3,HeLa cell
ELAVL1,SMARCC1,HeLa cell
ELAVL1,GALNT4,HeLa cell
ELAVL1,ISOC1,HeLa cell
ELAVL1,ELF2,HeLa cell
ELAVL1,JPH1,HeLa cell
ELAVL1,MYNN,HeLa cell
ELAVL1,APIP,HeLa cell
ELAVL1,RCOR3,HeLa cell
ELAVL1,GDI2,HeLa cell
ELAVL1,DDX39B,HeLa cell
ELAVL1,PI4K2B,HeLa cell
ELAVL1,MARCKS,HeLa cell
ELAVL1,SPAST,HeLa cell
ELAVL1,LATS2,HeLa cell
ELAVL1,CBR4,HeLa cell
ELAVL1,ZBTB2,HeLa cell
ELAVL1,ALYREF,HeLa cell
ELAVL1,FARP1,HeLa cell
ELAVL1,ZMYM2,HeLa cell
ELAVL1,SMIM12,HeLa cell
ELAVL1,SATB2,HeLa cell
ELAVL1,YWHAG,HeLa cell
ELAVL1,COPS7B,HeLa cell
ELAVL1,CSNK1E,HeLa cell
ELAVL1,MSANTD3,HeLa cell
ELAVL1,NXT2,HeLa cell
ELAVL1,CEP164,HeLa cell
ELAVL1,CPS1,HeLa cell
ELAVL1,SAV1,HeLa cell
ELAVL1,COL15A1,HeLa cell
ELAVL1,IL13RA1,HeLa cell
ELAVL1,ADRA1D,HeLa cell
ELAVL1,SLC2A3,HeLa cell
ELAVL1,JARID2,HeLa cell
ELAVL1,ZFHX3,HeLa cell
ELAVL1,RDH10,HeLa cell
ELAVL1,RBPJ,HeLa cell
ELAVL1,EXOC8,HeLa cell
ELAVL1,GNL3L,HeLa cell
ELAVL1,MLLT6,HeLa cell
ELAVL1,CHRM2,HeLa cell
ELAVL1,PLEKHA1,HeLa cell
ELAVL1,FNBP1,HeLa cell
ELAVL1,STARD3NL,HeLa cell
ELAVL1,HOXA5,HeLa cell
ELAVL1,C9orf64,HeLa cell
ELAVL1,TP53INP1,HeLa cell
ELAVL1,BLCAP,HeLa cell
ELAVL1,ATP2C1,HeLa cell
ELAVL1,TCF12,HeLa cell
ELAVL1,CAST,HeLa cell
ELAVL1,PAXIP1,HeLa cell
ELAVL1,CYP51A1,HeLa cell
ELAVL1,SAYSD1,HeLa cell
ELAVL1,SFXN1,HeLa cell
ELAVL1,TUBB3,HeLa cell
ELAVL1,DLG4,HeLa cell
ELAVL1,DAG1,HeLa cell
ELAVL1,EIF4EBP2,HeLa cell
ELAVL1,RNF122,HeLa cell
ELAVL1,UBA6,HeLa cell
ELAVL1,RAP2A,HeLa cell
ELAVL1,AAED1,HeLa cell
ELAVL1,XPO1,HeLa cell
ELAVL1,ZYG11B,HeLa cell
ELAVL1,MT1X,HeLa cell
ELAVL1,TMEM180,HeLa cell
ELAVL1,SMAD6,HeLa cell
ELAVL1,MPV17L,HeLa cell
ELAVL1,ADAMTS4,HeLa cell
ELAVL1,SUMO2,HeLa cell
ELAVL1,TAF2,HeLa cell
ELAVL1,WAPAL,HeLa cell
ELAVL1,HIRA,HeLa cell
ELAVL1,HP,HeLa cell
ELAVL1,DDX46,HeLa cell
ELAVL1,RBM14,HeLa cell
ELAVL1,DENND1C,HeLa cell
ELAVL1,C16orf87,HeLa cell
ELAVL1,GDPGP1,HeLa cell
ELAVL1,TSPAN13,HeLa cell
ELAVL1,EWSR1,HeLa cell
ELAVL1,NUCKS1,HeLa cell
ELAVL1,WSB2,HeLa cell
ELAVL1,ANKRD10,HeLa cell
ELAVL1,F3,HeLa cell
ELAVL1,FGFR1OP2,HeLa cell
ELAVL1,DCK,HeLa cell
ELAVL1,SH3PXD2A,HeLa cell
ELAVL1,WDR44,HeLa cell
ELAVL1,CRYL1,HeLa cell
ELAVL1,TUBGCP3,HeLa cell
ELAVL1,ZNF395,HeLa cell
ELAVL1,AMMECR1,HeLa cell
ELAVL1,MARCKSL1,HeLa cell
ELAVL1,CLUAP1,HeLa cell
ELAVL1,TPM3,HeLa cell
ELAVL1,ITCH,HeLa cell
ELAVL1,DESI2,HeLa cell
ELAVL1,RAP2C,HeLa cell
ELAVL1,AXL,HeLa cell
ELAVL1,FOPNL,HeLa cell
ELAVL1,SCAMP4,HeLa cell
ELAVL1,PTPN11,HeLa cell
ELAVL1,PCGF6,HeLa cell
ELAVL1,LIPA,HeLa cell
ELAVL1,OLR1,HeLa cell
ELAVL1,PRKCI,HeLa cell
ELAVL1,MTFMT,HeLa cell
ELAVL1,ANXA2R,HeLa cell
ELAVL1,SERBP1,HeLa cell
ELAVL1,SOX4,HeLa cell
ELAVL1,ARID5B,HeLa cell
ELAVL1,SAR1A,HeLa cell
ELAVL1,KLF5,HeLa cell
ELAVL1,SPATA2,HeLa cell
ELAVL1,STT3A,HeLa cell
ELAVL1,TJP1,HeLa cell
ELAVL1,TFAP4,HeLa cell
ELAVL1,GFOD1,HeLa cell
ELAVL1,RHOF,HeLa cell
ELAVL1,DCTD,HeLa cell
ELAVL1,TM9SF3,HeLa cell
ELAVL1,NCCRP1,HeLa cell
ELAVL1,RNASEH1,HeLa cell
ELAVL1,PPP4C,HeLa cell
ELAVL1,CCNT2,HeLa cell
ELAVL1,OSBPL3,HeLa cell
ELAVL1,RBBP5,HeLa cell
ELAVL1,RASL11A,HeLa cell
ELAVL1,PLAC8,HeLa cell
ELAVL1,PIAS4,HeLa cell
ELAVL1,SNX27,HeLa cell
ELAVL1,ZBTB43,HeLa cell
ELAVL1,RIN2,HeLa cell
ELAVL1,PLEKHA5,HeLa cell
ELAVL1,USP28,HeLa cell
ELAVL1,PPP1R2,HeLa cell
ELAVL1,CSNK1G3,HeLa cell
ELAVL1,VPS72,HeLa cell
ELAVL1,CNOT6,HeLa cell
ELAVL1,CHSY1,HeLa cell
ELAVL1,PRKAR2A,HeLa cell
ELAVL1,HCCS,HeLa cell
ELAVL1,EVI5,HeLa cell
ELAVL1,GATAD2A,HeLa cell
ELAVL1,DYRK1A,HeLa cell
ELAVL1,CENPH,HeLa cell
ELAVL1,DNAJC15,HeLa cell
ELAVL1,STRN,HeLa cell
ELAVL1,BCDIN3D,HeLa cell
ELAVL1,ZBED3,HeLa cell
ELAVL1,CPNE3,HeLa cell
ELAVL1,ZNF200,HeLa cell
ELAVL1,KDELR2,HeLa cell
ELAVL1,MAK16,HeLa cell
ELAVL1,ERMP1,HeLa cell
ELAVL1,ZNF532,HeLa cell
ELAVL1,FKBP14,HeLa cell
ELAVL1,SLC35G1,HeLa cell
ELAVL1,FNDC3B,HeLa cell
ELAVL1,MRPS27,HeLa cell
ELAVL1,CNNM3,HeLa cell
ELAVL1,MMGT1,HeLa cell
ELAVL1,VEZF1,HeLa cell
ELAVL1,C4orf32,HeLa cell
ELAVL1,ST13,HeLa cell
ELAVL1,BLOC1S6,HeLa cell
ELAVL1,ARNT,HeLa cell
ELAVL1,C2CD5,HeLa cell
ELAVL1,SALL4,HeLa cell
ELAVL1,PABPC4,HeLa cell
ELAVL1,DAZAP1,HeLa cell
ELAVL1,TUSC1,HeLa cell
ELAVL1,FBXO11,HeLa cell
ELAVL1,IFIT5,HeLa cell
ELAVL1,SCAF4,HeLa cell
ELAVL1,MESDC1,HeLa cell
ELAVL1,KATNAL1,HeLa cell
ELAVL1,FLYWCH1,HeLa cell
ELAVL1,AIF1L,HeLa cell
ELAVL1,LRRC8A,HeLa cell
ELAVL1,RRM2,HeLa cell
ELAVL1,HEY1,HeLa cell
ELAVL1,TFDP1,HeLa cell
ELAVL1,CCNY,HeLa cell
ELAVL1,LRRC47,HeLa cell
ELAVL1,SLC30A9,HeLa cell
ELAVL1,RBM25,HeLa cell
ELAVL1,MYBPH,HeLa cell
ELAVL1,RPS6KB1,HeLa cell
ELAVL1,EPT1,HeLa cell
ELAVL1,ARID3A,HeLa cell
ELAVL1,STX12,HeLa cell
ELAVL1,SH3KBP1,HeLa cell
ELAVL1,RBFOX2,HeLa cell
