Official Symbol Interactor A,Official Symbol Interactor B,Ontology Term Names
RNPS1,NRDE2,HEK-293 cell
YWHAZ,SAMD4B,HEK-293 cell
FDFT1,RUVBL1,HEK-293 cell
ARRB2,TCOF1,HEK-293 cell
GSTK1,XPO5,HEK-293 cell
TFE3,PHB2,HEK-293 cell
RNPS1,DDX20,HEK-293 cell
ILK,HEATR1,HEK-293 cell
PPP4C,SMEK2,HEK-293 cell
MCC,STRN4,HEK-293 cell
PHLDA3,DNAAF5,HEK-293 cell
YWHAG,KLC4,HEK-293 cell
EIF3A,EIF3E,HEK-293 cell
PPP1CB,PPP1R12A,HEK-293 cell
YWHAB,EPB41L3,HEK-293 cell
NPRL2,PRKAR1A,HEK-293 cell
TFE3,ACLY,HEK-293 cell
CDK2,EPB41,HEK-293 cell
YWHAB,PARD3,HEK-293 cell
ARF6,YARS,HEK-293 cell
RNPS1,RBM25,HEK-293 cell
WISP1,UGGT1,HEK-293 cell
BAK1,FRYL,HEK-293 cell
DYNLL1,DYNC1I2,HEK-293 cell
FBXO4,SKP1,HEK-293 cell
XRCC1,LIG3,HEK-293 cell
ARRB2,DDX27,HEK-293 cell
PTP4A3,LRPPRC,HEK-293 cell
PACSIN3,PYGM,HEK-293 cell
ARRB1,NOLC1,HEK-293 cell
YWHAG,TJP2,HEK-293 cell
ARHGDIA,RHOA,HEK-293 cell
LYAR,RPL23A,HEK-293 cell
CLEC3B,OSTF1,HEK-293 cell
YWHAG,SAMD4B,HEK-293 cell
CAMK2A,CAMK2B,HEK-293 cell
IKBKE,IMPDH2,HEK-293 cell
CAMK2A,CAMK2D,HEK-293 cell
AKTIP,HOOK1,HEK-293 cell
MCC,EPRS,HEK-293 cell
GSTK1,IPO4,HEK-293 cell
LYAR,MYBBP1A,HEK-293 cell
TMBIM4,DDOST,HEK-293 cell
PAK2,GIT1,HEK-293 cell
UBE2M,NAE1,HEK-293 cell
YWHAG,ERC1,HEK-293 cell
CDC25B,KRT85,HEK-293 cell
STK24,PDCD10,HEK-293 cell
COPS3,PHYH,HEK-293 cell
PSMD10,PSMC2,HEK-293 cell
PTP4A3,KIAA0368,HEK-293 cell
TRAF6,EPPK1,HEK-293 cell
ARRB2,AP3B1,HEK-293 cell
NEK6,USP9X,HEK-293 cell
NFKBIL1,RFXANK,HEK-293 cell
CDK4,CDC37,HEK-293 cell
LYAR,TWF2,HEK-293 cell
PNKP,MCM3,HEK-293 cell
YWHAG,RABGEF1,HEK-293 cell
MED7,UBAC1,HEK-293 cell
CTNNBIP1,JUP,HEK-293 cell
FKBP4,SAE1,HEK-293 cell
